क्र.सं.,जिल्ला,प्रतिनिधि सभा निर्वाचन क्षेत्र,राजनीतिक दल / स्वतन्त्र,उम्मेदवारको नाम,उमेर,लिङ्ग
1721,ललितपुर,3,नेपाली काँग्रेस,जितेन्द्र कुमार श्रेष्ठ,58,पुरुष
1722,ललितपुर,3,राष्ट्रिय प्रजातन्त्र पार्टी,सबिन कुमार खड्का,52,पुरुष
1723,ललितपुर,3,राष्ट्रिय जनमोर्चा,निल गोविन्द महर्जन,74,पुरुष
1724,ललितपुर,3,नेपाल कम्युनिष्ट पार्टी (संयुक्त),यज्ञ प्रसाद पन्त,42,पुरुष
1725,ललितपुर,3,नेपाल मजदुर किसान पार्टी,रमिला महर्जन,41,महिला
1726,ललितपुर,3,मंगोल नेशनल अर्गनाइजेसन,दिल कुमार महर्जन,44,पुरुष
1727,ललितपुर,3,"जनता समाजवादी पार्टी, नेपाल",कृष्ण देवि महर्जन,42,महिला
1728,ललितपुर,3,राष्ट्रिय स्वतन्त्र पार्टी,तोसीमा कार्की,36,महिला
1729,ललितपुर,3,नेपाली कम्युनिष्ट पार्टी,राज काजी महर्जन,48,पुरुष
1730,ललितपुर,3,प्रगतिशील लोकतान्त्रिक पार्टी,बिष्णु राज खड्का,47,पुरुष
1731,ललितपुर,3,संयुक्त नागरिक पार्टी,श्याम बहादुर राई,45,पुरुष
1732,ललितपुर,3,जय मातृभूमि पार्टी,राजीब कुमार थापा,61,पुरुष
1733,ललितपुर,3,श्रम संस्कृति पार्टी,ऋतुवर्तन राई,46,पुरुष
1734,ललितपुर,3,नेपाल कम्युनिस्ट पार्टी (माओवादी),खगेन्द्र महर्जन,44,पुरुष
1735,ललितपुर,3,उज्यालो नेपाल पार्टी,विजय पन्त,35,पुरुष
1736,ललितपुर,3,स्वतन्त्र,रुपेस शाह,36,पुरुष
1737,ललितपुर,3,स्वतन्त्र,अन्जु कारन्जीत (थापा),36,महिला
1738,ललितपुर,3,स्वतन्त्र,अशोज कुमार महर्जन,42,पुरुष
1739,ललितपुर,3,स्वतन्त्र,राधे श्याम खड्का,49,पुरुष
1740,ललितपुर,3,स्वतन्त्र,विष्‍णु महर्जन,48,पुरुष
1741,ललितपुर,3,स्वतन्त्र,लक्ष्मी सुवेदी (कार्की),55,महिला
1742,ललितपुर,3,स्वतन्त्र,बिमर्श मिश्र,27,पुरुष
1743,काभ्रेपलाञ्चोक,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),अमि तामाङ,44,पुरुष
1744,काभ्रेपलाञ्चोक,1,नेपाली काँग्रेस,गुणराज मुक्तान,40,पुरुष
1745,काभ्रेपलाञ्चोक,1,राष्ट्रिय प्रजातन्त्र पार्टी,नवराज सत्याल,44,पुरुष
1746,काभ्रेपलाञ्चोक,1,नेपाल मजदुर किसान पार्टी,राजु तामाङ,26,पुरुष
1747,काभ्रेपलाञ्चोक,1,मंगोल नेशनल अर्गनाइजेसन,कमल बहादुर लामा (तामाङ),41,पुरुष
1748,काभ्रेपलाञ्चोक,1,"जनता समाजवादी पार्टी, नेपाल",मान बहादुर तामाड,45,पुरुष
1749,काभ्रेपलाञ्चोक,1,राष्ट्रिय स्वतन्त्र पार्टी,मधु कुमार चौलागाई,56,पुरुष
1750,काभ्रेपलाञ्चोक,1,नेशनल रिपब्लिक नेपाल,भरत तामाङ,34,पुरुष
1751,काभ्रेपलाञ्चोक,1,नेपाली कम्युनिष्ट पार्टी,दिन नाथ गौतम,62,पुरुष
1752,काभ्रेपलाञ्चोक,1,प्रगतिशील लोकतान्त्रिक पार्टी,ज्ञानेन्द्र कुमार श्रेष्ठ,46,पुरुष
1753,काभ्रेपलाञ्चोक,1,संयुक्त नागरिक पार्टी,रत्‍न लामा,41,पुरुष
1754,काभ्रेपलाञ्चोक,1,श्रम संस्कृति पार्टी,धिराज लामा,45,पुरुष
1755,काभ्रेपलाञ्चोक,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),कान्छा तामाङ,47,पुरुष
1756,काभ्रेपलाञ्चोक,1,उज्यालो नेपाल पार्टी,योगेन्द्र लामा,38,पुरुष
1757,काभ्रेपलाञ्चोक,1,समावेशी समाजवादी पार्टी,बिनोद लामा,43,पुरुष
1758,काभ्रेपलाञ्चोक,1,स्वतन्त्र,युवराज चौलागाई,55,पुरुष
1759,काभ्रेपलाञ्चोक,1,स्वतन्त्र,जीवन लामा,37,पुरुष
1760,काभ्रेपलाञ्चोक,1,स्वतन्त्र,राजेश कुमार श्रेष्ठ,60,पुरुष
1761,काभ्रेपलाञ्चोक,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),अशोक कुमार ब्याञ्जु श्रेष्ठ,54,पुरुष
1762,काभ्रेपलाञ्चोक,2,नेपाली काँग्रेस,मधु प्रसाद आचार्य,61,पुरुष
1763,काभ्रेपलाञ्चोक,2,राष्ट्रिय प्रजातन्त्र पार्टी,रन्जीव श्रेष्ठ,43,पुरुष
1764,काभ्रेपलाञ्चोक,2,राष्ट्रिय जनमोर्चा,सूवर्ण विक्रम थापा,54,पुरुष
1765,काभ्रेपलाञ्चोक,2,नेपाल कम्युनिष्ट पार्टी (संयुक्त),राजन थापा,56,पुरुष
1766,काभ्रेपलाञ्चोक,2,नेपाल मजदुर किसान पार्टी,मुना तामाङ,37,महिला
1767,काभ्रेपलाञ्चोक,2,मंगोल नेशनल अर्गनाइजेसन,उमेश तामाङ,28,पुरुष
1768,काभ्रेपलाञ्चोक,2,मितेरी पार्टी नेपाल,हरी बहादुर थापा,41,पुरुष
1769,काभ्रेपलाञ्चोक,2,"जनता समाजवादी पार्टी, नेपाल",रकम लामा (तामाङ),40,पुरुष
1770,काभ्रेपलाञ्चोक,2,राष्ट्रिय स्वतन्त्र पार्टी,बदन कुमार भण्डारी,33,पुरुष
1771,काभ्रेपलाञ्चोक,2,नेशनल रिपब्लिक नेपाल,सुकमान तामाड,54,पुरुष
1772,काभ्रेपलाञ्चोक,2,नेपाली कम्युनिष्ट पार्टी,बसुन्धरा हुमागाई,55,पुरुष
1773,काभ्रेपलाञ्चोक,2,प्रगतिशील लोकतान्त्रिक पार्टी,रमेश बहादुर घर्ति क्षेत्री,35,पुरुष
1774,काभ्रेपलाञ्चोक,2,श्रम संस्कृति पार्टी,टंक बहादुर लामा,45,पुरुष
1775,काभ्रेपलाञ्चोक,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),कान्छा राम घिसिङ,37,पुरुष
1776,काभ्रेपलाञ्चोक,2,उज्यालो नेपाल पार्टी,ज्योत्सना सैजु,41,महिला
1777,काभ्रेपलाञ्चोक,2,स्वतन्त्र,विष्णु कुमार श्रेष्‍ठ,52,पुरुष
1778,काभ्रेपलाञ्चोक,2,स्वतन्त्र,आसा तामाङ,29,महिला
1779,काभ्रेपलाञ्चोक,2,स्वतन्त्र,डिल्लीप्रसाद न्यौपाने,38,पुरुष
1780,काभ्रेपलाञ्चोक,2,स्वतन्त्र,गणेश प्रसाद अधिकारी,36,पुरुष
1781,काभ्रेपलाञ्चोक,2,स्वतन्त्र,सीता राम मैनाली,42,पुरुष
1782,काभ्रेपलाञ्चोक,2,स्वतन्त्र,लेनिन विष्‍ट,38,पुरुष
1783,काभ्रेपलाञ्चोक,2,स्वतन्त्र,केशवराज तिमल्सिना,28,पुरुष
1784,काभ्रेपलाञ्चोक,2,स्वतन्त्र,उमेस थापा,30,पुरुष
1785,सिन्धुपाल्चोक,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सरेश नेपाल,65,पुरुष
1786,सिन्धुपाल्चोक,1,नेपाली काँग्रेस,जंग बहादुर लामा,48,पुरुष
1787,सिन्धुपाल्चोक,1,राष्ट्रिय प्रजातन्त्र पार्टी,राम मणी न्यौपाने,58,पुरुष
1788,सिन्धुपाल्चोक,1,राष्ट्रिय जनमोर्चा,दावा ग्याम्छो लामा,65,पुरुष
1789,सिन्धुपाल्चोक,1,नेपाल मजदुर किसान पार्टी,गिता देवी कर्माचार्य,54,महिला
1790,सिन्धुपाल्चोक,1,मंगोल नेशनल अर्गनाइजेसन,दावा लामा,37,पुरुष
1791,सिन्धुपाल्चोक,1,मितेरी पार्टी नेपाल,राजन सुन्चुरी,31,पुरुष
1792,सिन्धुपाल्चोक,1,"जनता समाजवादी पार्टी, नेपाल",पासाङ शेर्पा,34,महिला
1793,सिन्धुपाल्चोक,1,राष्ट्रिय स्वतन्त्र पार्टी,भरत प्रसाद पराजुली,57,पुरुष
1794,सिन्धुपाल्चोक,1,आम जनता पार्टी(एकल चुनाव चिन्ह),पासाङ्ग तामाङ्ग,47,पुरुष
1795,सिन्धुपाल्चोक,1,नेपाली कम्युनिष्ट पार्टी,माधव सापकोटा,44,पुरुष
1796,सिन्धुपाल्चोक,1,श्रम संस्कृति पार्टी,फुर्वा तामाङ,32,पुरुष
1797,सिन्धुपाल्चोक,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),समिर श्रेष्ठ,33,पुरुष
1798,सिन्धुपाल्चोक,1,उज्यालो नेपाल पार्टी,प्रताप लामा,59,पुरुष
1799,सिन्धुपाल्चोक,1,नागरिक सर्वोच्चता पार्टी नेपाल(एकल चुनाव चिन्ह),असोक बहादुर श्रेष्‍ठ,46,पुरुष
1800,सिन्धुपाल्चोक,1,स्वतन्त्र,पदम बहादुर तामाङ,58,पुरुष
1801,सिन्धुपाल्चोक,1,स्वतन्त्र,सन्त कुमार तामाङ,52,पुरुष
1802,सिन्धुपाल्चोक,1,स्वतन्त्र,सानु तामाङ,48,पुरुष
1803,सिन्धुपाल्चोक,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),शेर बहादुर तामाङग,56,पुरुष
1804,सिन्धुपाल्चोक,2,नेपाली काँग्रेस,वंशलाल तामाङ,62,पुरुष
1805,सिन्धुपाल्चोक,2,राष्ट्रिय प्रजातन्त्र पार्टी,गोपी कृष्ण चौलागाई,35,पुरुष
1806,सिन्धुपाल्चोक,2,नेपाल मजदुर किसान पार्टी,म्हेन्दो तामाङ,29,महिला
1807,सिन्धुपाल्चोक,2,मंगोल नेशनल अर्गनाइजेसन,कर्णविर स्यांवु लामा,39,पुरुष
1808,सिन्धुपाल्चोक,2,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दावा छिरिङ शेर्पा,49,पुरुष
1809,सिन्धुपाल्चोक,2,मितेरी पार्टी नेपाल,महेश कुँवर,40,पुरुष
1810,सिन्धुपाल्चोक,2,राष्ट्रिय स्वतन्त्र पार्टी,झलक कुमार श्रेष्‍ठ,47,पुरुष
1811,सिन्धुपाल्चोक,2,आम जनता पार्टी(एकल चुनाव चिन्ह),गणेश बहादुर श्रेष्ठ,60,पुरुष
1812,सिन्धुपाल्चोक,2,नेपाली कम्युनिष्ट पार्टी,युवराज दुलाल,43,पुरुष
1813,सिन्धुपाल्चोक,2,श्रम संस्कृति पार्टी,भानु श्रेष्ठ,36,पुरुष
1814,सिन्धुपाल्चोक,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),सोमान लामा,42,पुरुष
1815,सिन्धुपाल्चोक,2,उज्यालो नेपाल पार्टी,राम सिं तामाङ,38,पुरुष
1816,सिन्धुपाल्चोक,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),मिङमर तामाङ,52,पुरुष
1817,सिन्धुपाल्चोक,2,नागरिक सर्वोच्चता पार्टी नेपाल(एकल चुनाव चिन्ह),सेर वहादुर तामाङ,56,पुरुष
1818,सिन्धुपाल्चोक,2,स्वतन्त्र,सुन्‍दर अधिकारी,35,पुरुष
1819,सिन्धुपाल्चोक,2,स्वतन्त्र,विजु श्रेष्ठ,40,पुरुष
1820,सिन्धुपाल्चोक,2,स्वतन्त्र,दिपक ढकाल,39,पुरुष
1821,मकवानपुर,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),रामेश्‍वर राना मगर,63,पुरुष
1822,मकवानपुर,1,नेपाली काँग्रेस,महालक्ष्मी उपाध्याय(डिना),61,महिला
1823,मकवानपुर,1,राष्ट्रिय प्रजातन्त्र पार्टी,दिपक बहादुर सिंह,64,पुरुष
1824,मकवानपुर,1,नेपाल मजदुर किसान पार्टी,रंजना सुवाल मगजु,54,महिला
1825,मकवानपुर,1,मंगोल नेशनल अर्गनाइजेसन,युवराज लामा,43,पुरुष
1826,मकवानपुर,1,"जनता समाजवादी पार्टी, नेपाल",रुपक लामा,47,पुरुष
1827,मकवानपुर,1,राष्ट्रिय स्वतन्त्र पार्टी,प्रकाश गौतम,37,पुरुष
1828,मकवानपुर,1,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),दिपक सिन्तान,34,पुरुष
1829,मकवानपुर,1,नेपाली कम्युनिष्ट पार्टी,बिजय गौतम,40,पुरुष
1830,मकवानपुर,1,प्रगतिशील लोकतान्त्रिक पार्टी,तेज प्रसाद उप्रेती,41,पुरुष
1831,मकवानपुर,1,श्रम संस्कृति पार्टी,विद्या श्रेष्‍ठ (महर्जन),49,महिला
1832,मकवानपुर,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),महेश नेपाली,38,पुरुष
1833,मकवानपुर,1,उज्यालो नेपाल पार्टी,सुरेन्द्र लामा,36,पुरुष
1834,मकवानपुर,1,स्वतन्त्र,अमर दंगाल,41,पुरुष
1835,मकवानपुर,1,स्वतन्त्र,मठु पुलामी मगर,51,पुरुष
1836,मकवानपुर,1,स्वतन्त्र,ज्ञान सागर लामा,55,पुरुष
1837,मकवानपुर,1,स्वतन्त्र,राज कुमार खड्का,42,पुरुष
1838,मकवानपुर,1,स्वतन्त्र,टिका प्रसाद चौलागाई,64,पुरुष
1839,मकवानपुर,1,स्वतन्त्र,सुशिला सुवेदी,39,महिला
1840,मकवानपुर,1,स्वतन्त्र,राकेश कुमार शर्मा,55,पुरुष
1841,मकवानपुर,1,स्वतन्त्र,प्रमिला कुमारी खतिवडा,42,महिला
1842,मकवानपुर,1,स्वतन्त्र,अमिक परियार,46,पुरुष
1843,मकवानपुर,1,स्वतन्त्र,राजाराम बोगटी,38,पुरुष
1844,मकवानपुर,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),महेश कुमार वर्तौला,43,पुरुष
1845,मकवानपुर,2,नेपाली काँग्रेस,वुद्ध लामा,58,पुरुष
1846,मकवानपुर,2,राष्ट्रिय प्रजातन्त्र पार्टी,राम बहादुर थोकर,59,पुरुष
1847,मकवानपुर,2,राष्ट्रिय जनमोर्चा,निर बहादुर सिन्‍तान,34,पुरुष
1848,मकवानपुर,2,नेपाल मजदुर किसान पार्टी,सरोज तामाङ,38,पुरुष
1849,मकवानपुर,2,मंगोल नेशनल अर्गनाइजेसन,हिरा लाल स्याङतान,55,पुरुष
1850,मकवानपुर,2,राष्ट्रिय स्वतन्त्र पार्टी,प्रशान्त उप्रेती,25,पुरुष
1851,मकवानपुर,2,आम जनता पार्टी(एकल चुनाव चिन्ह),सूर्य राई,48,पुरुष
1852,मकवानपुर,2,जनता समाजवादी पार्टी(एकल चुनाव चिन्ह),छविलाल वाईवा,60,पुरुष
1853,मकवानपुर,2,नेशनल रिपब्लिक नेपाल,सुर्य तामाङ बल,39,पुरुष
1854,मकवानपुर,2,नेपाली कम्युनिष्ट पार्टी,लव शेर विष्ट,54,पुरुष
1855,मकवानपुर,2,प्रगतिशील लोकतान्त्रिक पार्टी,सन्तोष विष्ट,40,पुरुष
1856,मकवानपुर,2,संयुक्त नागरिक पार्टी,शुभ राज प्रजा,36,पुरुष
1857,मकवानपुर,2,श्रम संस्कृति पार्टी,युनेश लामा सिंतान,34,पुरुष
1858,मकवानपुर,2,नेपाल कम्युनिस्ट पार्टी (माओवादी),राम घलान,36,पुरुष
1859,मकवानपुर,2,उज्यालो नेपाल पार्टी,प्रविन कुमार स्याङतान,30,पुरुष
1860,मकवानपुर,2,स्वतन्त्र,रमेश आचार्य,47,पुरुष
1861,मकवानपुर,2,स्वतन्त्र,अमृत बल,42,पुरुष
1862,मकवानपुर,2,स्वतन्त्र,कृष्‍ण राम श्रेष्‍ठ,51,पुरुष
1863,मकवानपुर,2,स्वतन्त्र,सितामाया बल,38,महिला
1864,मकवानपुर,2,स्वतन्त्र,प्रतिक्षा बानिया,31,महिला
1865,रौतहट,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),अजय कुमार गुप्‍ता,51,पुरुष
1866,रौतहट,1,नेपाली काँग्रेस,अनिल कुमार झा,58,पुरुष
1867,रौतहट,1,राष्ट्रिय प्रजातन्त्र पार्टी,श्री मदन शाह,54,पुरुष
1868,रौतहट,1,नेपाल मजदुर किसान पार्टी,बैद्यनाथ प्रसाद चौधरी,51,पुरुष
1869,रौतहट,1,नेपाली जनता दल,संजय कुमार यादव,37,पुरुष
1870,रौतहट,1,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),जाजुल देवान,46,पुरुष
1871,रौतहट,1,जनमत पार्टी,देवेन्द्र मिश्र,69,पुरुष
1872,रौतहट,1,"जनता समाजवादी पार्टी, नेपाल",योगेन्द्र राय यादव,48,पुरुष
1873,रौतहट,1,राष्ट्रिय स्वतन्त्र पार्टी,राजेश कुमार चौधरी,54,पुरुष
1874,रौतहट,1,आम जनता पार्टी(एकल चुनाव चिन्ह),त्रिभुवन साह,50,पुरुष
1875,रौतहट,1,नेपाली कम्युनिष्ट पार्टी,माधव कुमार नेपाल,72,पुरुष
1876,रौतहट,1,प्रगतिशील लोकतान्त्रिक पार्टी,राजाराम मुखिया,55,पुरुष
1877,रौतहट,1,जय मातृभूमि पार्टी,र‌ंजित कुमार पटेल,32,पुरुष
1878,रौतहट,1,सार्वभौम नागरिक पार्टी,सुनिल प्रसाद कुसवाह,38,पुरुष
1879,रौतहट,1,उज्यालो नेपाल पार्टी,उमेश कुमार शाह,33,पुरुष
1880,रौतहट,1,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),मो तनवीर अखतर मिकरानी,37,पुरुष
1881,रौतहट,1,राष्ट्र निर्माण दल नेपाल,प्रभा कुमारी सिंह,50,महिला
1882,रौतहट,1,जन अधिकार पार्टी,संजय कुमार यादव,36,पुरुष
1883,रौतहट,1,स्वतन्त्र,लक्ष्‍मेश्‍वर नारायण साह,48,पुरुष
1884,रौतहट,1,स्वतन्त्र,ईन्‍दु देवी गुप्‍ता,55,महिला
1885,रौतहट,1,स्वतन्त्र,राजु कुमार मुखिया,33,पुरुष
1886,रौतहट,1,स्वतन्त्र,मुनिन्द्र कुमार ठाकुर,53,पुरुष
1887,रौतहट,1,स्वतन्त्र,श्याम वावु प्रसाद,34,पुरुष
1888,रौतहट,1,स्वतन्त्र,शम्भु प्रसाद,49,पुरुष
1889,रौतहट,1,स्वतन्त्र,बिबेक चौधरी,26,पुरुष
1890,रौतहट,1,स्वतन्त्र,राम सेवक राय,55,पुरुष
1891,रौतहट,1,स्वतन्त्र,संजीव कुमार यादव,39,पुरुष
1892,रौतहट,1,स्वतन्त्र,रामकृत साह,49,पुरुष
1893,रौतहट,1,स्वतन्त्र,मृणाल कुमार शाह,39,पुरुष
1894,रौतहट,1,स्वतन्त्र,राम नरेश राय यादव,46,पुरुष
1895,रौतहट,1,स्वतन्त्र,अमृता कुमारी यादव,30,महिला
1896,रौतहट,1,स्वतन्त्र,राधेश्याम साह तेली,38,पुरुष
1897,रौतहट,1,स्वतन्त्र,रामानन्द शर्मा,41,पुरुष
1898,रौतहट,1,स्वतन्त्र,दिनेश कुमार यादव,41,पुरुष
1899,रौतहट,1,स्वतन्त्र,सरोज कुमार कुशवाहा,41,पुरुष
1900,रौतहट,1,स्वतन्त्र,दिनेश राय,55,पुरुष
1901,रौतहट,1,स्वतन्त्र,रवि अर्चनम् वर्मा,44,पुरुष
1902,रौतहट,1,स्वतन्त्र,राम किशोर ठाकुर,44,पुरुष
1903,रौतहट,1,स्वतन्त्र,अभिषेक मिश्र,31,पुरुष
1904,रौतहट,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),महम्मद अतिउल्लाह,54,पुरुष
1905,रौतहट,2,नेपाली काँग्रेस,मो. फिरदोश आलम,39,पुरुष
1906,रौतहट,2,राष्ट्रिय प्रजातन्त्र पार्टी,रविन्द्र साह,42,पुरुष
1907,रौतहट,2,राष्ट्रिय जनमोर्चा,नेक महम्मद,67,पुरुष
1908,रौतहट,2,नेपाल मजदुर किसान पार्टी,शेख अमिरुल हक,72,पुरुष
1909,रौतहट,2,नेपाल जनता पार्टी,राज कुमार यादव,32,पुरुष
1910,रौतहट,2,जनमत पार्टी,सोनु कुशवाहा,28,पुरुष
1911,रौतहट,2,"जनता समाजवादी पार्टी, नेपाल",रामअशिष राय यादव,51,पुरुष
1912,रौतहट,2,राष्ट्रिय स्वतन्त्र पार्टी,शेख सगिर,45,पुरुष
1913,रौतहट,2,आम जनता पार्टी(एकल चुनाव चिन्ह),श्रीभगवान राउत कुर्मी,45,पुरुष
1914,रौतहट,2,नेपाली कम्युनिष्ट पार्टी,किरण कुमार साह,48,पुरुष
1915,रौतहट,2,प्रगतिशील लोकतान्त्रिक पार्टी,सुरेन्द्र प्रसाद जयसवाल,45,पुरुष
1916,रौतहट,2,उज्यालो नेपाल पार्टी,रामाकान्त प्रसाद पटेल,25,पुरुष
1917,रौतहट,2,राष्ट्रिय मुक्ति पार्टी नेपाल(एकल चुनाव चिन्ह),संजय सहनी,38,पुरुष
1918,रौतहट,2,स्वतन्त्र,शेख मुस्ताक,26,पुरुष
1919,रौतहट,2,स्वतन्त्र,दिलिप प्रसाद जैसवाल,42,पुरुष
1920,रौतहट,2,स्वतन्त्र,श्यामलाल साह तेली,39,पुरुष
1921,रौतहट,2,स्वतन्त्र,मो. फिरोज अख्तर,35,पुरुष
1922,रौतहट,2,स्वतन्त्र,जैलाल प्रसाद कुशवाहा,36,पुरुष
1923,रौतहट,2,स्वतन्त्र,रामजन्म प्रसाद यादव,34,पुरुष
1924,रौतहट,2,स्वतन्त्र,रामाकान्त प्रसाद पटेल,37,पुरुष
1925,रौतहट,2,स्वतन्त्र,मनोज कुमार बैठा,31,पुरुष
1926,रौतहट,2,स्वतन्त्र,शेख राहिल अहमद,38,पुरुष
1927,रौतहट,2,स्वतन्त्र,मो. नसिम अख्तर,42,पुरुष
1928,रौतहट,2,स्वतन्त्र,शेख महमद इफरान,34,पुरुष
1929,रौतहट,2,स्वतन्त्र,मो. इम्रान असलम,35,पुरुष
1930,रौतहट,3,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),कुन्दन प्रसाद कुशवाहा,46,पुरुष
1931,रौतहट,3,नेपाली काँग्रेस,रामकृपाल प्रसाद यादव,41,पुरुष
1932,रौतहट,3,राष्ट्रिय प्रजातन्त्र पार्टी,सिकिन्द्र राय यादव,54,पुरुष
1933,रौतहट,3,नेपाल मजदुर किसान पार्टी,रेखा कुमारी पटेल,34,महिला
1934,रौतहट,3,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),शेख साजिद,32,पुरुष
1935,रौतहट,3,मंगोल नेशनल अर्गनाइजेसन,उत्तर बहादुर राना मगर,50,पुरुष
1936,रौतहट,3,जनमत पार्टी,शेख प्रवेज आलम,29,पुरुष
1937,रौतहट,3,नेपाल लोकतान्त्रिक पार्टी,वीरेन्द्र कुमार गुप्‍ता,65,पुरुष
1938,रौतहट,3,"जनता समाजवादी पार्टी, नेपाल",गोविन्द चौधरी,67,पुरुष
1939,रौतहट,3,नागरिक उन्मुक्ति पार्टी,चनचन चौधरी थारु,40,पुरुष
1940,रौतहट,3,राष्ट्रिय स्वतन्त्र पार्टी,रविन्‍द्र पटेल,48,पुरुष
1941,रौतहट,3,आम जनता पार्टी(एकल चुनाव चिन्ह),प्रभु साह,54,पुरुष
1942,रौतहट,3,नेपाली कम्युनिष्ट पार्टी,पुनम देवी,39,महिला
1943,रौतहट,3,प्रगतिशील लोकतान्त्रिक पार्टी,उपेन्द्र मुखिया वीन,52,पुरुष
1944,रौतहट,3,संयुक्त नागरिक पार्टी,शम्‍भु प्रसाद यादव,56,पुरुष
1945,रौतहट,3,श्रम संस्कृति पार्टी,जमशेद अंसारी,55,पुरुष
1946,रौतहट,3,स्वतन्त्र,विजय कुमार साह तेली,36,पुरुष
1947,रौतहट,3,स्वतन्त्र,लालबाबु प्रसाद कुशवाहा,31,पुरुष
1948,रौतहट,3,स्वतन्त्र,पिन्टु दास तत्मा,25,पुरुष
1949,रौतहट,3,स्वतन्त्र,उपेन्द्र पंडित कुम्हार,42,पुरुष
1950,रौतहट,3,स्वतन्त्र,रतनेश महतो कोइरी,37,पुरुष
1951,रौतहट,3,स्वतन्त्र,हरिन्द्र राय यादव,45,पुरुष
1952,रौतहट,3,स्वतन्त्र,दरोगा साह,26,पुरुष
1953,रौतहट,3,स्वतन्त्र,जहुर आलम,30,पुरुष
1954,रौतहट,3,स्वतन्त्र,,,
1955,रौतहट,3,स्वतन्त्र,नेजाम मंसुरी,47,पुरुष
1956,रौतहट,3,स्वतन्त्र,पुनित राम महरा,38,पुरुष
1957,रौतहट,3,स्वतन्त्र,धिरज चौधरी,28,पुरुष
1958,रौतहट,3,स्वतन्त्र,सुरेन्द्र बैठा,57,पुरुष
1959,रौतहट,3,स्वतन्त्र,राजेन्द्र महरा,42,पुरुष
1960,रौतहट,3,स्वतन्त्र,शेख ओसी महमद,61,पुरुष
1961,रौतहट,3,स्वतन्त्र,छविलाल महतो,45,पुरुष
1962,रौतहट,3,स्वतन्त्र,बिजय कुमार चौधरी,35,पुरुष
1963,रौतहट,3,स्वतन्त्र,कृष्णा राम चमार,27,पुरुष
1964,रौतहट,3,स्वतन्त्र,हिरामती देवी कोइरी,50,महिला
1965,रौतहट,3,स्वतन्त्र,भरत राय यादव,58,पुरुष
1966,रौतहट,3,स्वतन्त्र,भागनारायण राय,52,पुरुष
1967,रौतहट,3,स्वतन्त्र,प्रभु राय यादव,31,पुरुष
1968,रौतहट,3,स्वतन्त्र,राजेश साह,38,पुरुष
1969,रौतहट,3,स्वतन्त्र,भोला पाण्डेय,47,पुरुष
1970,रौतहट,3,स्वतन्त्र,शिव चन्द्र शाह,28,पुरुष
1971,रौतहट,4,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),रामजी साह सोनार,46,पुरुष
1972,रौतहट,4,नेपाली काँग्रेस,देव प्रसाद तिमलसेना,55,पुरुष
1973,रौतहट,4,राष्ट्रिय प्रजातन्त्र पार्टी,रुपलाल राय यादव,47,पुरुष
1974,रौतहट,4,नेपाल मजदुर किसान पार्टी,दिनेश प्रसाद साह,53,पुरुष
1975,रौतहट,4,मंगोल नेशनल अर्गनाइजेसन,विर बहादुर थोकर,49,पुरुष
1976,रौतहट,4,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दावा सिं रुम्बा,58,पुरुष
1977,रौतहट,4,जनमत पार्टी,राम कल्याण राउत,28,पुरुष
1978,रौतहट,4,"जनता समाजवादी पार्टी, नेपाल",रा‌जकुमार दास तत्मा,41,पुरुष
1979,रौतहट,4,बहुजन एकता पार्टी नेपाल(एकल चुनाव चिन्ह),सत्यनारायण महरा,54,पुरुष
1980,रौतहट,4,राष्ट्रिय स्वतन्त्र पार्टी,गणेश पौडेल,43,पुरुष
1981,रौतहट,4,आम जनता पार्टी(एकल चुनाव चिन्ह),ऋषीराज धमला,50,पुरुष
1982,रौतहट,4,नेपाली कम्युनिष्ट पार्टी,राम कुमार भट्टराइ,62,पुरुष
